Name,Actors,Score,About,Genre,Crew,Image,Voted,Type
 آمین خواهیم گفت,"[' علیرضا مهران', ' آزاده زارعی', ' محمود نظرعلیان', ' فرزاد حسنی', ' محمد فصیحی', ' حمید حبیبی فر', ' میسا مولوی']",0.77,,"['خانوادگی', 'اجتماعی']","[' سامان سالور', ' ساسان سالور', ' سید امیر سیدزاده', ' مسعود سلامی', ' سامان سالور', ' بهزاد عبدی']",https://static.cdn.asset.filimo.com/flmt/mov_15093_19989-m.jpg,1064,فیلم
 ترانه,"[' الهه حصاری', ' اندیشه فولادوند', ' امیر رضا دلاوری', ' مریم معصومی', ' بابک انصاری', ' نازنین فراهانی', ' سیاوش چراغی پور', ' حدیث مدنی', ' ایران مسعودی', ' آیدا تبیانیان']",0.82,ترانه دختری دانشجو و مسئول جذب و پذیرش یک شرکت مدلینگ غیررسمی است که شوق به مد و فشن را در بین دانشجویان هم خوابگاهی اش به اوج می رساند....,"['خانوادگی', 'اجتماعی']","[' مهدی صاحبی', ' محمدتقی انصاری', ' آرش بادپا', ' حمید رحیم زاده']",https://static.cdn.asset.filimo.com/flmt/mov_22948_1-m.jpg,5895,فیلم
فریدا,[],0.85,در این ویژه برنامه سیزده قسمتی به بررسی وقایع زندگی گرانقدر حضرت سید الشهدا و واقعه عاشورا پرداخته خواهد شد. از محاکمه قاتلان امام حسین(ع) در دادگاه امروزی تا روایت دقیق آخرین سفر امام حسین(ع) بخشی از محتوای این ویژه برنامه متفاوت می باشند.,"['خانوادگی', 'اجتماعی']","[' حامد جوادزاده', ' حامد جوادزاده']",https://static.cdn.asset.filimo.com/flmt/mov_srl_33394_266-m.jpg,18128,سریال
 شنا در زمستان,"[' مجید مجیدی', ' یحیی دیوانی', ' مسعود رحمانی', ' داوود قنبری']",0.9,,"['خانوادگی', 'اجتماعی']","[' محمد کاسبی', ' محمد کاسبی', ' بابک بیات']",https://static.cdn.asset.filimo.com/flmt/mov_9683_439-m.jpg,386,فیلم
 گذرگاه,"[' محرم زینال زاده', ' اردلان شجاع کاوه', ' مهرداد خوشبخت', ' علی شاه حاتمی', ' روح الله برادری']",0.9,یک رزمنده به نام ناصر به همراه سه تن از همرزمانش برای عملیات گشت و شناسایی به جبهه اعزام می شود. ناصر حلقه ی ازدواجش را به عاطفه که تازه به عقد او در آمده می دهد و عازم می شود. در جبهه برای انجام مأموریت ناصر و همرزمانش به وسیله یک راهنمای محلی از راه مخفی ادامه مسیر می دهند اما ...,"['اکشن', 'جنگی']","[' شهریار بحرانی', ' محمدباقر آشتیانی', ' شهریار بحرانی', ' مجید انتظامی', ' همایون پایور']",https://static.cdn.asset.filimo.com/flmt/mov_7781_243-m.jpg,1605,فیلم
 شکارچی,"[' سجاد افشاریان', ' فراز سرابی', ' هدا حیدری', ' سجاد یاری']",0.43,,"['خانوادگی', 'اجتماعی']","[' مرتضی طالب', ' مرتضی طالب', ' امید غیایی', ' مهرداد بهروز احمدیان', ' محمدمهدی رفیعی', ' مسیح حدپور سراج', ' گلاره میرفخرایی', ' سپیده سلیمانی', ' بهزاد طالبی', ' مرتضی طالب']",https://static.cdn.asset.filimo.com/flmt/mov_118169_37079-m.jpg,43,فیلم
 خدا نزدیک است,"[' بابک حمیدیان', ' الناز شاکردوست', ' سعید نیک پور', ' مینا جعفرزاده', ' صفر روحی']",0.91,رضا پسر جوانی ست که با موتور مسافرکشی میکند. او با معلم جدید روستا، لیلا آشنا میشود و کم کم دلباخته او می گردد و احوالاتش طوری تغییر میکند که مادرش او را برای شفا به امامزاده می برد.,[],"[' علی وزیریان', ' جواد نوروزبیگی', ' محمدتقی پاکسیما', ' علی وزیریان']",https://static.cdn.asset.filimo.com/flmt/mov_5957_1-m.jpg,995,فیلم
 عشق نیکان,"[' محمدرضا شیرخانلو', ' ملیکا شریفی نیا', ' نیما شاهرخ شاهی', ' علی کاظمی', ' سولماز حصاری', ' روشنک عجمیان']",0.81,,"['خانوادگی', 'اجتماعی']","[' فرناز امینی', ' هادی رحیمی خواص', ' محمدرضا عمادین']",https://static.cdn.asset.filimo.com/flmt/mov_35379_30097-m.jpg,1322,فیلم
 ناخدا خورشید,"[' داریوش ارجمند', ' علی نصیریان', ' سعید پورصمیمی', ' فتحعلی اویسی', ' پروانه معصومی', ' علی اصغر گرمسیری', ' جعفر والی']",0.92,خواجه ماجد، ناخدا خورشید را لو می دهد و بار قاچاق لنج ناخدا به آتش کشیده می شود. دلالی به نام فرحان که می خواهد چند فراری سیاسی را از مرز آبی عبور دهد وارد بندر می شود. او با ناخدا خورشید تماس می گیرد. ناخدا که احتمال می دهد لنجش را مصادره کنند با فرحان همکاری می کند.,"['اکشن', 'هیجان انگیز']","[' ناصر تقوایی', ' هارون یشایایی', ' محمدعلی سلطان زاده', ' فریدون ناصری', ' مهرداد فخیمی']",https://static.cdn.asset.filimo.com/flmt/mov_132_31947-m.jpg,784,فیلم
 تعقیب سایه ها,"[' جعفر دهقان', ' سیدجواد هاشمی', ' غلامرضا علی اکبری', ' حسن عباسی']",0.9,گروه تحقیق پلیس بخاطر انفجار یک خودرو شروع به کار میکند که با کمک مجروح حادثه و شماره پلاک خودرو نام عامل بمب گذاری مشخص میشود...,[],"[' علی شاه حاتمی', ' رضا متقیان', ' فریبرز لاچینی']",https://static.cdn.asset.filimo.com/flmt/mov_5954_485-m.jpg,552,فیلم
 دو برادر دو زن,"[' طناز طباطبایی', ' امیر غفارمنش', ' فرزین محدث', ' امیررضا وزیری', ' فردوس کاویانی']",0.68,,"['خانوادگی', 'کمدی']","[' کیومرث پوراحمد', ' داریوش بابائیان', ' اصغر عبدالهی', ' کیومرث پوراحمد', ' فرهاد محمودی', ' فردین خلعتبری']",https://static.cdn.asset.filimo.com/flmt/mov_34216_914-m.jpg,319,فیلم
